"","age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
"1804",26,"average",NA,"socially","sometimes","graduated from space camp","hispanic / latin",69,NA,"hospitality / travel",2012-06-25 12:59:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"m","sagittarius and it's fun to think about","no","english, spanish, french (poorly)","single","i am a little on the eccentric/ silly side, full of life and passion. simplicity is key. to me the glass is half full and when life hands yo"
"26814",25,"fit","mostly other","socially","sometimes","graduated from college/university",NA,70.87,20000,"artistic / musical / writer",2012-06-30 15:03:00,"san francisco, california",NA,"bisexual","has cats","other and laughing about it","m","aries and it's fun to think about","no","english (fluently), french (okay), ancient greek (fluently), latin (fluently)","available","to be frank, i look much like the chrysler building.    i'm finally settled into the bay area. and by that, i mean i've navigated the wiggle"
"19109",27,"fit",NA,"socially","never","graduated from college/university","white, other",70.04,NA,"sales / marketing / biz dev",2012-03-05 21:57:00,"palo alto, california","doesn't have kids","straight","likes dogs and likes cats",NA,"m","aquarius and it's fun to think about","sometimes","english","single","i have my day job in online advertising, but love producing & recording music on the side (purevolume.com/briteside). i'm more of a casual d"
"37284",30,"average",NA,"desperately","sometimes","graduated from masters program",NA,73.11,60000,"artistic / musical / writer",2012-04-01 02:16:00,"berkeley, california",NA,"straight","has dogs","other and very serious about it","m",NA,"when drinking","english (poorly)","single","i am not your average young black man.    i am sick of the san francisco dating scene and am looking to fall in love with an eastern europea"
"24344",29,"used up","strictly anything","socially",NA,"working on college/university","native american, hispanic / latin, white",69.91,NA,"student",2012-06-29 21:29:00,"oakland, california","doesn't have kids","straight","likes dogs","atheism and laughing about it","m","aries but it doesn't matter","sometimes","english (poorly)","single","la -&gt; nyc -&gt; la -&gt; florence -&gt; la -&gt; oakland. i see no reason to go back to la from here.    bonobos are my favorite animal, "
"23336",21,"average",NA,"socially","sometimes","working on college/university","hispanic / latin",66.97,NA,"student",2012-02-22 02:40:00,"san francisco, california",NA,"gay",NA,"catholicism but not too serious about it","m","pisces and it's fun to think about","when drinking","english (fluently), spanish (okay)","single","i'm an actor, i love theater and i love making people laugh. i have a huge open mind and love adventure and love to have a good time."
"54528",38,NA,NA,"often","sometimes",NA,"white",73.89,NA,"computer / hardware / software",2012-06-27 18:20:00,"redwood city, california",NA,"straight","likes dogs and has cats","agnosticism and laughing about it","m","gemini but it doesn't matter","no","english (fluently)","married","who am i? who the hell are you to ask me who i am? i am none of your business. go away.    for those left - you'll either hate me, or you'll"
"47263",28,NA,NA,"often",NA,"graduated from masters program",NA,76.92,NA,"science / tech / engineering",2012-06-23 10:57:00,"san francisco, california",NA,"straight",NA,NA,"m",NA,"no","english","single","i'm originally from england but fulfilled a life long dream of moving to san francisco, the plan being to live here forever and ever and eve"
"31573",52,"athletic","anything","socially","sometimes","graduated from college/university","white",72,100000,"science / tech / engineering",2012-06-30 15:30:00,"daly city, california","has a kid, but doesn't want more","straight",NA,NA,"m",NA,NA,"english","single","well shoot...just a country boy who made it big in the city. i have had my highs and lows and am still alive and kickin'. not a day goes by "
"6536",33,NA,NA,"socially",NA,"graduated from high school","pacific islander",72.07,NA,"sales / marketing / biz dev",2012-06-29 21:36:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and likes cats",NA,"m","libra","yes","english","single","born in the philippines came to the us in '1987. raised in sf went to school in sf and work in sf. lol"
"26409",46,"a little extra","anything","rarely","never","high school","white",73.08,80000,"construction / craftsmanship",2012-04-16 17:31:00,"san francisco, california","has kids","straight",NA,NA,"m","taurus but it doesn't matter","no","english","single",NA
"3106",25,"athletic","strictly halal","not at all","never","graduated from two-year college","middle eastern",70.01,NA,"student",2012-01-09 11:40:00,"san francisco, california",NA,"straight","dislikes dogs and likes cats","islam","m",NA,"no","english (okay), arabic (fluently)","single","i am very happy for your presence here:)  i do not like to talk about myself a lot because we know that the person can not only intercourse "
"44159",23,"average","strictly anything","socially","sometimes","graduated from college/university","white",66.95,NA,"computer / hardware / software",2012-06-28 00:13:00,"oakland, california","doesn't have kids, but wants them","bisexual","likes dogs and likes cats",NA,"m",NA,"when drinking","english","available","good god, i wish i could sit and drink a beer with you and explain how absurd the idea of a self-summary is to me but really where would tha"
"5108",27,"athletic","mostly anything","socially",NA,"graduated from college/university","asian, white",67.92,100000,"sales / marketing / biz dev",2012-06-06 23:04:00,"san carlos, california",NA,"straight","has dogs and likes cats","atheism but not too serious about it","m","aquarius but it doesn't matter","no","english","single","i am the opposite of awkward and have a great sense of humor!"
"35381",35,"a little extra",NA,"rarely","never",NA,"white",70.03,NA,"computer / hardware / software",2012-06-07 18:48:00,"san francisco, california","doesn't want kids","gay","dislikes dogs and likes cats","atheism and very serious about it","m",NA,"trying to quit","english (fluently), japanese (poorly)","seeing someone","i enjoy hanging out at a coffee shop sipping chai over a good conversation, eating a good vegan meal with a friend, riding my new bike and o"
"13802",39,"athletic",NA,"socially","never","graduated from law school","white",75.04,NA,"law / legal services",2012-04-06 14:03:00,"san francisco, california",NA,"straight",NA,NA,"m","aquarius","no","english","single","not sure what to say. i think i am a straightforward guy with diverse interests. looking to meet drama free partner to grow with. i am into "
"57897",29,"fit",NA,"socially","never","graduated from college/university","white",75.01,NA,"other",2012-06-21 06:14:00,"san francisco, california",NA,"gay","likes dogs and likes cats","atheism and very serious about it","m","scorpio but it doesn't matter","no","english (fluently), german (fluently), spanish (okay)","single","februar 2012    hi guys,    i haven't up-dated this profile in a while, but life has changed a bit. after six years of workaholism, i left s"
"35432",30,"fit","strictly anything","socially",NA,"graduated from college/university","white",72.17,NA,NA,2012-06-19 19:51:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"m","gemini","no","english, spanish (poorly)","single","i quit my job in marketing 2 years ago to travel around the world. after backpacking, volunteering and teaching english in europe, south ame"
"37667",25,NA,NA,"socially","never",NA,"asian",69.02,NA,NA,2012-03-01 14:29:00,"south san francisco, california",NA,"straight",NA,NA,"m",NA,"no","english","single","young guy looking to make some friends and maybe a long term relationship"
"54526",27,"fit","strictly vegetarian","socially","never",NA,"white",67.17,NA,"artistic / musical / writer",2011-12-14 16:27:00,"walnut creek, california",NA,"straight",NA,NA,"m",NA,"sometimes","english","single","hi  dssssssssssssssfisdugfidshfsdklvnsdkjfvhdsofghdsokjhdkjdfhdfkljhfdkgjh- dfsklgjhdfklvbjhfdklgjhkdfjhvkldjbhfdkljghdfkgvjhxjkghfdkljghdfk"
"8807",38,"athletic","anything","socially","never","graduated from college/university","white",66.89,NA,"computer / hardware / software",2012-06-30 07:49:00,"san francisco, california","has kids","straight","has dogs",NA,"m","taurus but it doesn't matter","no","english, italian, spanish","single","re-discovering being single slowly. i'm an open minded person, willing to explore new things, hence trying dating in the digital age for the"
"19054",19,"fit","mostly anything","socially",NA,NA,"black, native american",71.95,20000,"political / government",2012-04-19 13:05:00,"san francisco, california",NA,"straight","has dogs and dislikes cats","christianity","m","virgo","trying to quit","english (fluently), spanish (okay)","single","i'm very laid back and calm all the time. i'm always hanging out with my friends having a good time. i like to live life to the fullest!"
"42781",34,"average",NA,"socially",NA,NA,"asian",63.11,NA,"other",2012-05-27 08:55:00,"san francisco, california",NA,"gay",NA,NA,"m","sagittarius","when drinking","english, vietnamese (fluently), french (poorly)","single","i'm so horrible at filling out these things, but i'm great at making lists; so here we go  -i love to travel, exploring new things but somet"
"39793",30,"average","vegetarian","rarely",NA,"graduated from college/university","white",66.84,NA,"artistic / musical / writer",2012-01-17 21:03:00,"san francisco, california",NA,"gay","likes dogs and likes cats","atheism","m",NA,"no","english","single","fun, energetic, quirky introvert. i have a dry sense of humor."
"32775",24,"average","strictly anything","socially",NA,"working on college/university","white",70.94,NA,"student",2012-06-15 21:17:00,"walnut creek, california",NA,"straight","likes dogs and has cats","agnosticism but not too serious about it","m","aries but it doesn't matter","no","english (fluently), c++ (poorly), chinese (poorly), french (poorly)","single","i'm definitely a very passionate and opinionated person; although sometimes i surprise myself about how pluralistic some of my views are. i'"
"22920",24,"average","mostly anything","socially","sometimes","graduated from two-year college","white",72.95,NA,"artistic / musical / writer",2012-06-30 16:42:00,"san francisco, california",NA,"gay","likes dogs and likes cats","atheism and very serious about it","m","pisces and it's fun to think about","sometimes","english (fluently), sign language (okay), spanish (okay)","single","i love video games, 420, beer, and tattoos. love to skateboard and bike all around the city, or exploring the park. i am masculine and am lo"
"4454",30,"fit","mostly anything","socially",NA,"graduated from college/university","asian",67.96,NA,"other",2012-06-28 22:47:00,"foster city, california",NA,"straight","likes dogs and likes cats","atheism and laughing about it","m","taurus and it's fun to think about","no","english (fluently), chinese (okay), c++ (poorly)","single","i don't usually like to put labels on myself but generally i like to think of myself as an ""artistic"" kind of a guy and i did study art in s"
"59603",59,"fit",NA,"socially","never",NA,"white",71.94,NA,"artistic / musical / writer",2012-01-02 07:34:00,"san francisco, california","has kids","straight",NA,"atheism","m",NA,"no","english, german, spanish","single","i am well traveled, well read.......have lived and traveled around the world......love literature, foreign film.....i am a fine art photogra"
"1247",18,"athletic","anything","not at all","never","working on high school","asian, white",68.95,NA,"student",2012-05-24 19:09:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats","atheism but not too serious about it","m","capricorn but it doesn't matter","no","english","single","18, male. currently a poolee in the usmc dep. i leave for mcrd san diego on 20120529. so in less that 18 days i'll be a marine corps recruit"
"26378",28,"fit","strictly anything","socially","never","graduated from masters program","white",69.97,NA,"science / tech / engineering",2012-06-30 12:29:00,"san francisco, california","doesn't have kids","straight","likes dogs and dislikes cats","agnosticism and laughing about it","m","virgo and it's fun to think about","no","english (fluently)","single","i'm a geeky lowbrow foodie who likes going to concerts of all kinds. i've gotten into running a lot since i moved to sf and i keep getting t"
"8614",42,"athletic","mostly anything","socially","never","graduated from masters program","asian",71.88,NA,"education / academia",2012-06-30 07:39:00,"san francisco, california","doesn't have kids","straight","likes dogs and likes cats","agnosticism but not too serious about it","m","aries but it doesn't matter","no","english (fluently), spanish (poorly), korean (poorly)","single",NA
"19642",38,"jacked",NA,"very often","never","dropped out of high school","white",71.18,500000,"rather not say",2011-12-07 20:37:00,"emeryville, california",NA,"straight","likes dogs and likes cats","christianity and very serious about it","m",NA,"trying to quit","english (fluently)","single","i dont even need no introducton cause yall already no who i am. a nd i know what ur thinkin girl and its that you scared that u might fall i"
"14021",25,"average","mostly anything","socially","never","graduated from college/university","white",74.97,20000,"other",2012-06-30 11:35:00,"san francisco, california","doesn't want kids","gay",NA,"other","m","pisces","no","english","single","goofy, kind, honest, and enjoy learning"
"5854",42,"athletic",NA,"socially","never","graduated from masters program","black",70.83,NA,"medicine / health",2012-06-29 17:28:00,"san francisco, california","doesn't have kids, but might want them","bisexual","has dogs and dislikes cats","christianity but not too serious about it","m","aquarius but it doesn't matter","no","english (fluently), spanish (fluently), french (okay), italian (poorly)","single","greetings! i'm an innately curious, ideas-driven person with a passionate side, especially in the realms of magnetic people, music and aesth"
"28870",27,"curvy","strictly anything","rarely","often","graduated from college/university","asian, white",65.97,30000,"other",2012-06-29 15:08:00,"san francisco, california","doesn't have kids, but might want them","straight","has dogs and likes cats","other but not too serious about it","m","libra and it's fun to think about","yes","english (fluently), japanese (poorly)","available","i'm out here trying to function."
"33595",23,"fit","mostly anything","rarely","never","graduated from high school","asian",68.89,NA,"other",2012-05-27 22:25:00,"san francisco, california","doesn't have kids, but might want them","straight",NA,NA,"m","capricorn but it doesn't matter","sometimes","english (fluently), chinese (okay)","single","hi my name is danny. i love going to the gym! i'm shy at first but when i get to know the person more i come out of my shell."
"46594",21,"athletic","mostly other","socially","never",NA,"white",71.99,20000,"sales / marketing / biz dev",2012-06-30 17:49:00,"san rafael, california",NA,"straight",NA,NA,"m",NA,"no","english","single","my name is kames.    i am web developer.    i live on a sailboat."
"36865",33,"athletic","mostly vegetarian","socially",NA,"graduated from college/university","asian",65.84,NA,"other",2012-06-28 22:22:00,"berkeley, california","doesn't have kids","straight",NA,NA,"m","leo and it's fun to think about","no","english, tagalog (poorly), spanish (poorly)","single",NA
"20183",29,"fit","anything","socially","never","graduated from college/university","white",73.93,NA,"sales / marketing / biz dev",2012-06-27 06:32:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and likes cats","christianity","m",NA,"no","english","single","working and living in sf and having a great time. i enjoy going out, enjoying the festivals, reading, going up to the russian river valley, "
"26340",29,"fit","strictly other","socially","never","working on college/university","hispanic / latin",66.85,40000,"military",2012-06-28 14:53:00,"redwood city, california",NA,"straight","has dogs","catholicism but not too serious about it","m","scorpio","no","english (fluently), spanish (okay)","single","where to start, its not easy writing about your self. instead of saying ""describe yourself"" it should really say ""sell your self!"" that's wh"
"17480",45,"athletic",NA,"socially","never","graduated from college/university","white",68.86,NA,NA,2012-06-18 10:07:00,"san francisco, california",NA,"straight",NA,NA,"m","gemini","no","english","single","hello. i'm a pretty easy going guy, well most of the time, with a witty and goofy sense of humor. i enjoy working hard, but enjoy being acti"
"5221",42,"fit","strictly vegetarian","socially","never","graduated from college/university","white",70.88,NA,"medicine / health",2012-01-08 23:11:00,"mountain view, california","has a kid","straight","has dogs and likes cats","christianity but not too serious about it","m","pisces and it's fun to think about","no","english (fluently)","available","mischievious, witty, fearless, restless. i like the rain and wind pounding against my face, the clash of thunder, bursts of lightning. i lik"
"22619",29,"athletic","strictly anything","socially","sometimes","graduated from masters program","asian",65.92,80000,"science / tech / engineering",2012-06-29 05:23:00,"daly city, california","doesn't have kids, but might want them","straight","has dogs and dislikes cats","agnosticism and very serious about it","m","leo but it doesn't matter","no","english (fluently), chinese (poorly)","single","you'll find out very quickly that i am up for, almost, anything. new experiences drive me, especially those that involve cuisine. i'm an exc"
"24735",25,"average","mostly anything","socially",NA,"working on college/university","hispanic / latin",70.17,NA,"construction / craftsmanship",2012-06-30 04:38:00,"san francisco, california",NA,"straight","has dogs and likes cats",NA,"m","cancer and it's fun to think about","no","english (fluently), spanish (okay)","single","what up people! benjamin is the name, i'm new to s.f. recently moved from south tahoe and i miss it already.. i'm for sure an outdoors man i"
"16019",24,"athletic","mostly anything","socially","sometimes","graduated from college/university","white",71.89,NA,"other",2012-05-21 21:19:00,"berkeley, california",NA,"straight","likes dogs and likes cats","other but not too serious about it","m","sagittarius and it's fun to think about","no","english (fluently), spanish (poorly)","single","low-key, individual, idea driven, contemplative, balance seeking  ...however also...  active, positive, adventurous, sometimes silly, do it "
"17251",32,"average",NA,"socially","never","graduated from college/university","white",70.06,100000,"computer / hardware / software",2012-06-29 22:10:00,"san francisco, california",NA,"gay","has cats",NA,"m","aries but it doesn't matter","when drinking","english (fluently), c++ (fluently), german (okay), chinese (poorly), norwegian (poorly)","single"," open source     i'm a software engineer who firmly believes in the open source community. software made by the masses/for the masses is wha"
"21240",28,"thin","mostly anything","often","sometimes","working on ph.d program","hispanic / latin, white",71.04,NA,"science / tech / engineering",2012-06-28 22:18:00,"san francisco, california",NA,"straight","likes dogs and likes cats","agnosticism","m",NA,"no","english","single","i grew up in kansas, spent my high school years as a band geek, got a degree in physics in manhattan, ""the little apple,"" kansas, moved out "
"9662",30,"fit","anything","socially","never","graduated from masters program","hispanic / latin, white",69.88,NA,"political / government",2012-06-29 22:18:00,"oakland, california",NA,"straight","likes dogs and likes cats",NA,"m",NA,"no","english","single","i get lost all the time. i can ride the subway in the wrong direction and not notice. i can drive past an exit on the highway and not realiz"
"23276",30,"average","strictly anything","socially","sometimes","graduated from college/university","asian",68,NA,"sales / marketing / biz dev",2012-06-30 11:42:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"m","taurus but it doesn't matter","no","english (fluently), portuguese (poorly)","single","i could write a bunch of adjectives that describe me, but don't you think it's more fun if you find out on your own?    about the people i s"
"55448",33,"athletic","mostly anything","socially","never","graduated from law school","asian",69.17,NA,"law / legal services",2012-06-29 00:03:00,"san francisco, california","doesn't have kids, but wants them","straight",NA,"catholicism","m","libra","no","english (fluently), spanish (poorly), tagalog (poorly), chinese (poorly)","single","just moved back to the bay after a little stint in asia and the east coast. i'm living in the city now and it's pretty amazing!    i love sp"
"11696",28,"average","anything","socially",NA,"graduated from college/university","white",74.81,NA,"student",2012-06-29 18:17:00,"san leandro, california","doesn't have kids","straight",NA,"agnosticism and laughing about it","m","gemini but it doesn't matter","no","english","single","ah, describing myself isn't my forte so sorry if this seems bit cliched. shy at first, but i'm really outgoing once you get to know me. who'"
"26933",35,"athletic","mostly anything","socially","never","graduated from masters program","white",65.88,100000,"science / tech / engineering",2012-06-25 22:12:00,"palo alto, california","doesn't have kids, but wants them","straight","likes dogs and likes cats","other","m","aquarius and it's fun to think about","no","english, french, hungarian, spanish","single","i'm a easy going, funny, chill and driven guy seeking someone cool to chat with over drinks and do fun activities on the weekends. low drama"
"11941",28,"average","mostly anything","socially",NA,"graduated from college/university","white, other",69.08,NA,"other",2011-07-11 22:53:00,"alameda, california",NA,"straight","likes dogs and has cats","other but not too serious about it","m","virgo and it's fun to think about","no","english (fluently), latin (poorly), spanish (poorly)","single","i've got a broken hand and a torn wing...  poetically speaking. i'm a wild and an untamed thing.    i enjoy cooking, writing poetry, taking "
"38145",22,"average","mostly anything","socially","never","working on college/university","hispanic / latin, white",70.05,1000000,"student",2012-06-10 20:23:00,"san francisco, california",NA,"straight",NA,"catholicism but not too serious about it","m","capricorn and it's fun to think about","no","english","single","i'm an astronaut, deep-sea diver, nascar racer, pro baseball player, philosopher, archeologist, architect, theologian, musician, president, "
"31530",33,"fit","mostly anything","very often","sometimes","graduated from space camp","asian, pacific islander",67.15,NA,"artistic / musical / writer",2012-06-30 17:46:00,"san francisco, california","doesn't have kids","straight","likes dogs","other and laughing about it","m","taurus but it doesn't matter","no","english (fluently), tagalog (fluently), spanish (poorly)","single","never done this before, so pardon any awkwardness that might come through. but then again, i'm the reigning king of awkward(dom).    i like "
"26137",50,"athletic",NA,"socially","never","college/university","black",75.03,50000,"political / government",2012-06-25 15:44:00,"vallejo, california",NA,"straight",NA,"christianity and very serious about it","m","scorpio but it doesn't matter","no","english (fluently)","single","i have been told i am a very easy going person,somewhat reserved and a relaxed perfect gentleman at all time, i like to have fun and if i ca"
"56039",40,"athletic","mostly anything","socially",NA,"working on masters program","hispanic / latin",69.17,NA,"student",2012-06-16 15:26:00,"san francisco, california","doesn't have kids, but might want them","straight",NA,"agnosticism but not too serious about it","m","gemini but it doesn't matter","no","english (fluently), spanish (fluently)","single","born and raised in mexico city and a proud member of a big fat family (6 sisters and 3 brothers), i am humble by nature thus intelligent and"
"24350",27,"athletic","strictly anything","socially","sometimes",NA,"white",69.83,NA,"other",2012-06-29 22:44:00,"san anselmo, california","doesn't have kids","straight","likes dogs and likes cats",NA,"m","virgo but it doesn't matter","sometimes","english","single","27 year old chef that loves the outdoors!  mountain biker, drummer, snowboarder, chef.    i am now 27 and have a chef de cuisine position at"
