"","age","body_type","diet","drinks","drugs","education","ethnicity","height","income","job","last_online","location","offspring","orientation","pets","religion","sex","sign","smokes","speaks","status","essay0"
"17422",35,"full figured",NA,"socially","never","graduated from masters program","white",63.88,70000,"education / academia",2012-02-09 14:03:00,"palo alto, california",NA,"straight",NA,"agnosticism and somewhat serious about it","f","virgo and it's fun to think about","no","english (fluently), french (fluently), japanese (poorly)","seeing someone","i like cooking, travel, sci-fi, theater (esp. shakespeare), reading novels, video and online games, movies, dancing (all kinds), concerts, h"
"57404",41,"fit","mostly anything","rarely","never","graduated from masters program","white",63.06,NA,"education / academia",2012-06-13 01:41:00,"san francisco, california",NA,"straight","likes cats","buddhism and laughing about it","f","libra but it doesn't matter","no","english (fluently), spanish (fluently), french (poorly)","single","new self summary short and sweet. i have a decent job that i enjoy most of the time which also allows me a lot of vacation time. i often spe"
"45301",42,"athletic",NA,"socially","never","working on space camp","white",64.94,NA,"other",2012-05-19 15:11:00,"oakland, california","has a kid","straight","has dogs and likes cats",NA,"f","pisces and it's fun to think about","no","english","single","what i like: eclectic vintage art, yoga, cooking, baking, motorcycles, camping, exploring new business ideas and bringing them to fruition  "
"43444",26,"a little extra","strictly anything","rarely","never","graduated from college/university","asian",61.85,NA,"clerical / administrative",2012-06-26 23:05:00,"vallejo, california",NA,"bisexual","likes dogs and likes cats","catholicism and somewhat serious about it","f","gemini and it's fun to think about","when drinking","english (fluently), french (poorly)","single","i never know what to write here because if you write too much praising crap you sound like a pompous asshole and if you write too much modes"
"51823",35,"average","mostly anything","socially","never","graduated from masters program","white",65.84,30000,"other",2012-05-29 18:30:00,"alameda, california",NA,"straight","likes dogs and likes cats","buddhism and somewhat serious about it","f","leo and it's fun to think about","no","english (fluently)","single",NA
"32496",23,"average","mostly anything","socially","never","graduated from college/university",NA,64.11,NA,"education / academia",2012-05-10 12:25:00,"san francisco, california",NA,"straight","likes dogs","catholicism but not too serious about it","f",NA,"no","english (fluently)","single","i am sort of shy, but once you get to know me i can be very talkative.    still filling this out."
"43467",23,"curvy",NA,"rarely","never","graduated from high school","black",65.15,NA,NA,2012-06-26 01:12:00,"san francisco, california","doesn't have kids, but wants them","straight",NA,"christianity and very serious about it","f","virgo but it doesn't matter","no","english","single","names jess 23 years old. i don't really know what i'm looking for, but i thought i'd give this a try and if i stumble upon something interes"
"1501",25,"athletic",NA,"socially","never","graduated from college/university","white",67.11,NA,"entertainment / media",2012-06-28 13:11:00,"san francisco, california",NA,"straight","likes dogs and likes cats","christianity but not too serious about it","f","taurus and it's fun to think about","no","english","single","if you're the person who likes to sleep half of saturday away because of a hangover or sheer laziness, i'm not the girl for you :) while i d"
"46734",58,"fit",NA,"socially","never",NA,"white",66.84,NA,NA,2012-06-12 18:41:00,"san francisco, california","doesn't have kids","straight","has cats",NA,"f",NA,"no","english","single","fun, funny, a good friend, loyal, smart and looking for someone to spend time with at movies, theatre, restaurants, dinner parties, and just"
"11875",22,"skinny","strictly vegetarian","socially","sometimes","graduated from two-year college","hispanic / latin, white",61.96,NA,"medicine / health",2012-06-27 21:29:00,"oakland, california","doesn't have kids, but might want them","straight","likes dogs and likes cats","atheism","f","cancer but it doesn't matter","when drinking","english","single","very few things are certain.  i love animals. (i know everyone says that, but really though)  nothing makes me happier than dancing  i hate "
"2849",36,"curvy","mostly anything","rarely","never","graduated from two-year college","white, other",64.05,NA,"other",2012-02-01 09:32:00,"pacifica, california","has kids","straight","has dogs and has cats","atheism and somewhat serious about it","f","cancer and it's fun to think about","no","english (fluently), spanish (poorly), french (poorly)","seeing someone","i'm an odd mix of cynic and romantic, liberal and conservative, easy-going and complicated, etc. i value compassion, honesty and humor- in m"
"13892",39,"athletic",NA,"rarely","never","graduated from masters program",NA,60.95,NA,"computer / hardware / software",2012-06-02 00:13:00,"belmont, california",NA,"straight",NA,NA,"f",NA,"no","english (fluently), chinese (fluently), c++ (fluently)","single","i am a bit of a walking contradiction. logical and analytical when i am programming, but impulsive in life. soft hearted towards children an"
"29370",63,"curvy","anything","socially","sometimes","dropped out of college/university","white",63.82,NA,"artistic / musical / writer",2012-04-12 08:34:00,"san francisco, california","has a kid","bisexual","likes dogs and likes cats","other and somewhat serious about it","f","leo and it's fun to think about","sometimes","english","single","i am a women who has traveled round the world on a g-string. i have led a colorful and vivid life. i am a studied tantrika and do my best to"
"34659",24,"fit",NA,"rarely","never","graduated from college/university","white",65.94,NA,"other",2012-06-30 04:49:00,"oakland, california","doesn't have kids","gay","likes dogs and likes cats",NA,"f","gemini and it's fun to think about","when drinking","english (fluently)","single","sext meeee. dick pics preferred.    a rachel may seem like a common species, but i am actually quite unique. i am hilarious especially when "
"59884",26,"fit","mostly anything","socially","never","graduated from college/university","asian, hispanic / latin, white, other",66.05,NA,"science / tech / engineering",2012-01-16 17:08:00,"san francisco, california",NA,"straight","has dogs",NA,"f","cancer","no","english, french","single","never judge a book by it's cover... i just might surprise the hell out of you.    san francisco is home, but i frequent nyc, spokane, and la"
"57076",20,"average","anything","socially","never","graduated from high school","hispanic / latin",61.92,NA,"student",2011-07-29 21:01:00,"richmond, california","has a kid","straight",NA,"catholicism but not too serious about it","f","aries","no","english (fluently), spanish (fluently)","single",NA
"54717",23,"curvy","mostly anything","socially","never","working on college/university","hispanic / latin, white, other",62.07,NA,"student",2012-06-30 21:52:00,"richmond, california","doesn't have kids","straight","likes dogs and has cats","other","f","libra and it's fun to think about","no","english (fluently), sign language (poorly)","single","i'm libra! mixed with gemini and virgo!    i think of myself as a ""free spirit"" even though that sounds cheesy. usually pretty easy going. i"
"59327",64,"average","mostly anything","often","never","graduated from ph.d program","white",65.06,150000,"medicine / health",2012-04-03 20:38:00,"san francisco, california","doesn't have kids, and doesn't want any","gay","has dogs and likes cats",NA,"f",NA,"no","english (fluently), italian (poorly), spanish (okay)","single","i am a forensic psychologist, mother, sister and grandmother. i enjoy great food, stimulating conversation, travel, learning something new a"
"56295",23,"curvy","anything","socially","never","working on med school","asian",60.09,NA,"hospitality / travel",2012-03-16 21:41:00,"berkeley, california","doesn't have kids, but wants them","straight","likes dogs and dislikes cats","christianity and very serious about it","f",NA,"no","english (fluently), thai (fluently)","single","a simple girl looking for a simple guy. hoping to find true love.    little things make me happy. friends, family, and god."
"25086",26,"fit","strictly anything","socially",NA,"graduated from law school","hispanic / latin",68.13,NA,"law / legal services",2012-06-30 16:28:00,"san francisco, california",NA,"straight","likes dogs and likes cats","catholicism but not too serious about it","f","aquarius but it doesn't matter","no","english (fluently), portuguese (fluently), spanish (poorly)","single","brazilian, 26, i've been living here since september. independent, friendly, funny, easygoing, and outgoing. =d    well, i never try that in"
"3264",34,"average","mostly anything","socially","never","graduated from college/university","white",65.87,NA,"sales / marketing / biz dev",2012-06-23 08:56:00,"san francisco, california",NA,"gay","likes dogs",NA,"f","virgo and it's fun to think about","no","english","single","i'm just a small town girl, living in a lonely world. took the midnight train going anywhere  actually, i'm a california girl- born and rais"
"41375",28,"fit","strictly vegetarian","socially",NA,"working on masters program","white",69.17,NA,"other",2012-06-08 13:26:00,"san francisco, california","doesn't want kids","straight","likes dogs and likes cats","other but not too serious about it","f","capricorn","no","english (fluently), spanish (okay)","single","i am a fun loving energetic person enjoying exploring all the experiences that life in this awesome city can offer me!!"
"53369",31,NA,NA,"socially","never",NA,"hispanic / latin",61.83,NA,"science / tech / engineering",2012-04-24 13:20:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","libra","no","english (fluently), spanish (fluently)","single","i love to bake. i cook a mean dinner. and i won't go a month without throwing a dinner party.    i was born in d.f., mexico. raised in south"
"39456",32,NA,NA,"socially","never","graduated from college/university","white",68.97,NA,"other",2012-06-29 09:56:00,"san francisco, california","doesn't want kids","bisexual","likes cats","agnosticism and laughing about it","f","aries but it doesn't matter","no","english (fluently), french (okay)","single","i am apparently adventurous. i love food and will try anything once. i spent a week helping out at an organic brewery in taranaki, new zeala"
"13740",33,"average","mostly anything","socially","never","graduated from college/university","asian",61.91,NA,"science / tech / engineering",2012-06-29 23:32:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and likes cats",NA,"f","gemini","no","english (fluently), chinese (okay)","single","it's been a while! let's give this another go around :)"
"55374",36,"fit",NA,"socially",NA,"graduated from college/university","white",61.95,NA,"sales / marketing / biz dev",2012-06-29 15:44:00,"san francisco, california",NA,"straight","has dogs","judaism and laughing about it","f","cancer but it doesn't matter","no","english","single","southpaw. jayhawk. redhead. spontaneous. vivacious. affectionate. listener. brainstormer. nurturer. firecracker. occasional trouble maker.  "
"17410",19,NA,"mostly vegan","rarely",NA,NA,NA,73.84,NA,"artistic / musical / writer",2012-06-30 11:09:00,"berkeley, california","doesn't have kids, but wants them","bisexual","likes dogs and likes cats","other","f",NA,"sometimes","english (fluently)","single","i'm lex. i love cooking, doing yoga, crafting, spending as much time outside as possible, biking, and adventuring. i'm really passionate abo"
"54619",44,"athletic",NA,"socially","never","graduated from college/university","white",62.9,NA,"banking / financial / real estate",2012-06-30 11:21:00,"lafayette, california",NA,"straight","likes dogs and has cats","other","f",NA,"no","english","single","if you're not looking for a honest, sweet, sexy, quality woman, then you better stop reading now...    i am a lover of life, have eyes that "
"38399",32,"fit",NA,"socially",NA,NA,"white",63.9,NA,NA,2012-06-28 14:16:00,"san francisco, california",NA,"straight",NA,"judaism","f","cancer and it's fun to think about","no","english","single","i am easy going, fun loving, and social. my friends describe me as a loyal, honest, and trustworthy friend who always considers the needs of"
"24114",38,"average",NA,"not at all","never","graduated from college/university","hispanic / latin",60.07,NA,"science / tech / engineering",2012-06-29 18:12:00,"palo alto, california","doesn't want kids","straight","likes dogs and dislikes cats","christianity but not too serious about it","f","libra but it doesn't matter","no","english (fluently), spanish (fluently)","single","this is the hardest part, when i figure it out, i'll update it:)  excited about the tech world, love my job, and being challenged,  life is "
"51275",25,"curvy","mostly anything","socially","never","graduated from college/university","black",62.14,30000,"political / government",2012-07-01 04:21:00,"san francisco, california","doesn't have kids, but wants them","straight","likes dogs and dislikes cats","agnosticism and somewhat serious about it","f","gemini and it's fun to think about","no","english (fluently), spanish (okay), portuguese (poorly)","single","so i have certain things that i would like to accomplish. i would like to get my teaching degree because i did not do that the first time ar"
"10369",24,"a little extra","mostly anything","socially","often","graduated from college/university","black",65.99,NA,"law / legal services",2012-06-30 09:12:00,"san francisco, california",NA,"straight","likes dogs and likes cats","other and laughing about it","f","aquarius and it's fun to think about","when drinking","english","single","what the hell, i'll be honest but it might not endear me to very many people. i can be kind of a bitch. i'm not a person who copes with ange"
"2563",32,"curvy","mostly anything","socially","never","graduated from college/university","white",67.92,NA,"executive / management",2012-06-29 20:31:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs","agnosticism but not too serious about it","f","virgo and it's fun to think about","no","english (fluently), french (poorly), italian (poorly)","single","hmmm, here's the easiest way to sum it up:    things i love: long drives through the hills, dance classes (solo, not couples dancing), writi"
"58588",66,"full figured",NA,"socially","never","graduated from college/university","white",63.08,NA,"other",2012-06-24 15:09:00,"san francisco, california",NA,"straight","likes dogs and likes cats","buddhism and somewhat serious about it","f","sagittarius and it's fun to think about","no","english (fluently), french (fluently), spanish (fluently), portuguese (fluently), italian (okay)","single","attractive, zaftig, womanly and fun loving, i thrive in the company of pleasant, good-natured individuals. i enjoy leisurely dinners with fr"
"16738",54,"curvy","anything","rarely","never",NA,"white",62.92,NA,NA,2012-03-19 23:55:00,"emeryville, california",NA,"straight","likes dogs and likes cats","christianity and somewhat serious about it","f","aquarius but it doesn't matter","no","english","single","i am a strong free spirited woman with a spice of life but mostly my faith in god is my strong foundation. it is sad when i see men get inti"
"50696",38,"curvy","mostly anything","socially","never","graduated from college/university","white",66.9,NA,"sales / marketing / biz dev",2012-06-27 08:38:00,"emeryville, california","doesn't have kids, but wants them","straight","has dogs","catholicism and laughing about it","f","leo and it's fun to think about","no","english","single","for the most part i'm pretty happy and content with my life - i'm successfully self-employed, have wonderful friends and the determination t"
"55761",24,NA,"mostly anything","socially","never","graduated from college/university","white",64.82,NA,"law / legal services",2012-06-30 21:13:00,"oakland, california","doesn't have kids","straight",NA,"christianity","f",NA,NA,"english","single","just a 24 year old looking for some new people to meet or hang out with."
"17984",23,"average",NA,"socially","never","working on college/university","hispanic / latin",65.89,NA,"student",2012-06-30 14:24:00,"berkeley, california","doesn't have kids","straight","has dogs and dislikes cats","catholicism","f",NA,"no","english (okay), spanish (fluently), portuguese (poorly)","single","hi! if you are interested in casual sex, i'm not..so don't waste our times. i know it sounds rude to said that at first but it will safe a l"
"7411",43,"overweight",NA,"rarely","never","graduated from two-year college","white",63.92,NA,"artistic / musical / writer",2012-06-30 02:21:00,"alameda, california","has a kid, but doesn't want more","straight","has dogs and has cats","agnosticism but not too serious about it","f","sagittarius but it doesn't matter","no","english","single","i cannot be summarized! ;)"
"52317",25,"fit","mostly vegetarian","socially","sometimes","working on ph.d program","asian, white",65.97,20000,"student",2012-06-30 23:29:00,"berkeley, california","doesn't have kids","bisexual","likes dogs and likes cats","other","f","aries but it doesn't matter","when drinking","english (fluently), japanese (fluently), spanish (fluently), german (okay), chinese (okay)","single","born in tokyo, grew up in houston, expanded my consciousness in middletown (ct), expanded my political consciousness and climbed many volcan"
"26436",27,"average",NA,"often",NA,NA,"white",68.05,NA,NA,2012-05-28 23:06:00,"san francisco, california",NA,"gay",NA,NA,"f","scorpio and it's fun to think about","no","english","single","quirky.    funny.    i'll write some paragraphs later    i am nerdy, awkward, and kinda faggy.  i love myself and i think self love is sexy."
"21578",28,"average",NA,"socially","never","working on masters program","white",68.13,70000,"artistic / musical / writer",2012-06-29 02:31:00,"san francisco, california",NA,"straight","likes dogs","other and somewhat serious about it","f","scorpio","no","english (fluently), spanish (okay)","single","i play music to beat boredom.  i do yoga to stay in the moment.  i am creative to make money.  i laugh to laugh.  i drink to look cool.  i l"
"15110",63,"fit","mostly vegetarian",NA,"never","graduated from college/university",NA,69.94,NA,NA,2012-06-29 08:55:00,"oakland, california",NA,"straight",NA,NA,"f",NA,NA,"english","single","i am fun, great sense of humor, very intelligent, artistic,pretty, happy,honest,generous and kind. i am a humanist, writer of stories and so"
"28757",43,"full figured","mostly anything","rarely","never","working on ph.d program","white",60.03,150000,"science / tech / engineering",2012-06-30 09:58:00,"palo alto, california","doesn't have kids, and doesn't want any","straight",NA,NA,"f","gemini and it's fun to think about","no","english (fluently), c++ (okay)","single","well, my friends say i'm clever, bright, honest and funny, brave and fiercely loyal to those close to me. i enjoy the company of intelligent"
"27277",29,"curvy",NA,"socially","never","graduated from masters program","white",64.1,NA,"other",2012-06-30 09:13:00,"san francisco, california",NA,"straight","has dogs","christianity and very serious about it","f","virgo and it's fun to think about","no","english","single","i moved out to san francisco for an internship to complete my master's degree. i was planning to stay one year; 4 and a half years later, i "
"33181",33,NA,"vegetarian","socially","never","working on ph.d program","native american, hispanic / latin, white",60.85,NA,"student",2012-06-27 16:03:00,"emeryville, california","doesn't have kids, but wants them","straight","dislikes cats","other and very serious about it","f","leo and it's fun to think about","no","english (fluently), spanish (fluently)","single","note: i am mia this summer:) will think about re-surfacing in august.    heart driven and curious about life and living.    find joy in magi"
"16658",27,"athletic","mostly vegetarian","rarely","never","dropped out of ph.d program","white",64.84,NA,"computer / hardware / software",2012-06-30 08:25:00,"san francisco, california",NA,"straight","likes dogs and has cats","agnosticism and laughing about it","f","cancer and it's fun to think about","no","english (fluently), german (okay), c++ (okay)","single","abstract: ever the polymath, yet a practicing software engineer, classically trained in ee and cs varieties, but with an acquired taste for "
"3621",43,"average","strictly anything","socially","never","graduated from college/university","white",63.81,NA,"entertainment / media",2012-05-23 16:25:00,"san francisco, california","doesn't have kids, but might want them","straight","likes dogs and has cats","catholicism but not too serious about it","f","aries and it's fun to think about","when drinking","english (fluently)","single","i am very social but also like my down time. i'm looking for someone that can be just as comfortable going out with friends or staying in an"
"41437",24,"fit","mostly anything","socially",NA,"graduated from college/university","white",63.06,NA,"sales / marketing / biz dev",2012-04-08 19:30:00,"san francisco, california",NA,"straight","likes dogs and likes cats",NA,"f","virgo but it doesn't matter","no","english (fluently)","single","i'm always looking to have fun or go on an adventure - work hard and play hard. i'm happiest snowboarding and biking, hoping to learn to kit"
"6435",37,"fit",NA,"not at all","never","graduated from ph.d program","black",67.99,NA,"executive / management",2011-09-12 00:25:00,"berkeley, california",NA,"straight","dislikes dogs and dislikes cats","atheism and very serious about it","f","libra but it doesn't matter","no","english (fluently), spanish (poorly), swahili (poorly)","single","when i was a kid, my mom would say ""only boring people get bored""  whenever we would complain about not having anything to do. in the  end, "
"14163",50,"average","mostly anything","socially","never","graduated from two-year college","hispanic / latin",63.83,50000,"executive / management",2012-06-25 14:25:00,"san mateo, california","doesn't have kids, but might want them","gay","likes dogs and dislikes cats","catholicism but not too serious about it","f","leo but it doesn't matter","no","english (fluently), spanish (fluently)","single",NA
"21164",28,NA,NA,"socially","never","graduated from college/university","asian",62.17,NA,"computer / hardware / software",2012-06-26 00:13:00,"san francisco, california",NA,"straight",NA,NA,"f","cancer but it doesn't matter",NA,"english, tagalog (fluently)","single",NA
"24706",44,"average","mostly anything","socially","never","graduated from masters program","white",67.13,NA,"computer / hardware / software",2012-06-26 10:57:00,"oakland, california","has a kid","gay","has cats","buddhism and somewhat serious about it","f","gemini but it doesn't matter","no","english (fluently), polish (fluently), french (poorly), russian (poorly), spanish (poorly)","single","i am 43 and life has been a long and fascinating journey. from being born and raised in an ultra-conservative, catholic family in poland to "
"20804",28,"curvy",NA,"socially",NA,"graduated from college/university","white",67.17,NA,"artistic / musical / writer",2012-06-29 19:17:00,"san francisco, california",NA,"straight",NA,NA,"f",NA,"no","english (fluently), french (okay), spanish (okay)","single","appreciating beauty. luxuriating. questioning.    world-traveling. home-loving. trend-popping.    open. aware. yummy."
"29576",25,NA,"strictly anything","socially","never","working on masters program",NA,66.11,NA,"other",2012-06-25 09:57:00,"san francisco, california",NA,"straight","has dogs and dislikes cats","agnosticism and somewhat serious about it","f","sagittarius",NA,"english, italian (fluently), spanish (okay), turkish (poorly)","single","i love travel, coffee, languages, and food."
"51626",34,"curvy","anything","socially","sometimes","graduated from college/university","white",68.19,NA,"entertainment / media",2012-02-27 21:44:00,"san francisco, california","doesn't want kids","straight","likes dogs and has cats","agnosticism but not too serious about it","f","pisces and it's fun to think about","no","english (fluently)","single","hello boys. i thought i'd give this a shot in the hopes i would meet someone who isn't drunk at the moment. awkard pause. seriously, bored b"
"26710",20,"average",NA,"socially","never","working on college/university","hispanic / latin",60.86,NA,"other",2012-06-30 17:35:00,"san francisco, california","doesn't have kids","straight","likes dogs",NA,"f","leo and it's fun to think about","no","english (fluently), spanish (fluently)","single","hmmm i don't really know what to say... my name is stella i'm 20, i'm trying to meet new people that i can hang out with and have fun and um"
"22677",58,"curvy","mostly vegetarian","socially","sometimes","graduated from law school","native american, white",64.99,20000,"law / legal services",2012-06-30 12:37:00,"san francisco, california","has kids, but doesn't want more","straight","dislikes dogs and likes cats","agnosticism and laughing about it","f","sagittarius and it's fun to think about","sometimes","english, c++ (poorly), spanish (poorly)","available","divinely silly and intellectually sexy charismatic creative troublemaker    *gentle*  *present*  *intuitive*  *low maintenance*  *high funct"
"54639",39,"athletic",NA,"socially","never","working on masters program","white",65.98,20000,"student",2012-06-25 16:40:00,"mountain view, california",NA,"straight","likes dogs","atheism and somewhat serious about it","f","cancer but it doesn't matter","no","english (fluently), french (okay), spanish (poorly), portuguese (poorly)","seeing someone","i just moved to mountain view from berkeley (in april 2012) to start a new job. i have a few friends down here, but i'd love to meet more ac"
"25093",29,"average","anything",NA,NA,"working on masters program","asian, white",63.88,NA,"education / academia",2012-06-30 10:15:00,"san francisco, california",NA,"straight","likes dogs and dislikes cats","judaism and laughing about it","f","cancer","no","english (fluently), french (okay), chinese (okay)","single","i'm originally from southern california but have been loving life in sf for the past year and a half. i love being outdoors  rain or shine  "
"8733",24,"thin","mostly anything","socially","never","working on college/university","asian",67.06,NA,"student",2011-10-30 02:06:00,"berkeley, california",NA,"straight","likes dogs and likes cats","christianity and laughing about it","f","gemini and it's fun to think about","no","english (fluently), chinese (poorly), spanish (poorly)","single",NA
"18454",26,NA,"mostly anything","socially",NA,"working on law school",NA,63.08,NA,NA,2012-06-20 22:58:00,"berkeley, california",NA,"straight",NA,"christianity","f",NA,"no","english","single","i love speaking in abbrevs, exploring cities, finding cute coffee shops, and learning about people/ideas/cultures    myers briggs = enfj"
"1169",29,NA,"mostly vegetarian","socially",NA,"graduated from college/university",NA,62.13,NA,"entertainment / media",2012-06-27 22:25:00,"san francisco, california",NA,"bisexual",NA,"other","f","aquarius and it's fun to think about","when drinking","english","single","(insert cute and witty introductory comment here)    i never know what to write in these damn boxes.    i am cuddly, thoughtful, and complic"
