name,price,sex,height,color,location,markings,weight,foaldate,registrations,disciplines,temperament
STATE YOUR NAME,5000,Mare,16.011,Bay,"western, Massachusetts","sock, snip",,6-Apr,ApHC - Appaloosa Horse Club (649759),English Pleasure (Champion) Hunter Under Saddle (Champion) Western Pleasure (Champion) Showmanship (Champion) Youth/4-H Horse (Champion),1.083
Ryszard,15000,Gelding,16.318,Black,"Gainesville, Florida","star, stripe, sock",1200 pounds,11-Jan,AHS - American Hanoverian Society (),Dressage (Prospect) Hunter Under Saddle (Prospect),1.09
Miss Poco Kallie,2000,Mare,10.002,Bay,"Springville, Indiana",www.gravesfoundationqtrhorses.com,100 pounds,13-Apr,AQHA - American Quarter Horse Association (pending) NFQHA - National Foundation Quarter Horse Association (pending),Cutting (Prospect) Reining (Prospect) Working Cow Horse (Prospect) Team Roping (Prospect) Western Riding (Prospect),1.091
Rosey,4500,Mare,11.117,Black,"Dallas, Texas",,500 pounds,7-Jan,,Beginner/Family ,1.093
Delilah,1500,Mare,12.987,Palomino,"Broomall, Pennsylvania",Blaze,,Jan-00,,Beginner/Family  Trail Horse  Lesson Horse ,1.101
Scooby,275,Gelding,8.31,Silver Dapple,"Grantville, Pennsylvania",Tobiano,,7-Jan,,Beginner/Family ,1.104
Marble,8500,Gelding,16.189,Pinto,"western, Massachusetts",black/white,,4-Apr,,Eventing (Champion) Field Hunter (Champion) English Pleasure (Champion) Youth/4-H Horse (Champion) Trail Horse (Champion),1.106
Ipod Shuffle,5400,Gelding,11.998,Bay,"Acworth, Georgia",,,3-Dec,,Field Hunter (Trained) Beginner/Family (Trained) Hunter Under Saddle (Champion) Equitation (Champion) Hunter (Champion),1.108
Grand View's Penelope,12500,Mare,12.097,Grey,"Pittsford, New York",,,1-Jan,,Hunter (Champion) English Pleasure (Champion) Equitation (Champion),1.108
Jewel,2500,Mare,14.194,Buckskin,"Galloway, Ohio",Perfectly painted,900 pounds,8-Apr,APHA - American Paint Horse Association (),Western Pleasure (Show) (Competed or Shown) Horsemanship (Competed or Shown) Cowboy Mounted Shooting (Trained) Field Hunter (Competed or Shown) Hunter Under Saddle (Competed or Shown),1.109
Jazzed Up Bum,3000,Mare,14.285,Other,"Houston, Texas",Black and White Tobiano,,Mar-97,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association () SSHBEA- Spotted Saddle Horse Breeders and Exhibitors Association (),Ranch Horse (Rank Not Applicable),1.113
Cash On Birthday,5000,Gelding,15.284,Sorrel,"Pekin, Indiana",,,Feb-92,,Western Pleasure (Show) (Competed or Shown) Showmanship (Competed or Shown) English Pleasure (Competed or Shown) Horsemanship (Competed or Shown) Western Riding (Competed or Shown),1.115
Dun Bar Blazen Wind,10000,Gelding,16.005,Dun,"Louisville, Mississippi",Sabino with blaze and stockings,1000 pounds,5-Jul,PtHA - Pinto Horse Association of America (144691),Equitation (Competed or Shown) Horsemanship (Competed or Shown) Youth/4-H Horse (Competed or Shown) Western Pleasure (Show) (Competed or Shown) Hunter Under Saddle (Competed or Shown),1.115
Zips Rosalita,3000,Mare,15.111,Bay,"Gallatin, Missouri",,,2-Jun,APHA - American Paint Horse Association (700668),Western Pleasure (Show) (Rank Not Applicable) Brood Mare (Rank Not Applicable) Beginner/Family (Prospect) Youth/4-H Horse (Prospect) Country Pleasure (Rank Not Applicable),1.129
Dee Dees Sweet Lizzy,2500,Mare,15.098,Sorrel,"Aiken, South Carolina",,1000 pounds,Feb-99,AQHA - American Quarter Horse Association (3893798),Trail Horse (Trained) Beginner/Family (Trained) Brood Mare (Champion),1.132
HEY GOOD BUDDY,5000,Gelding,15.205,Pinto,"western, Massachusetts",roan/white paint,,7-Jan,APHA - American Paint Horse Association (911614),Western Pleasure (Champion) English Pleasure (Champion) Trail Horse (Champion) Youth/4-H Horse (Champion) Beginner/Family (Champion),1.132
Shadow,5000,Gelding,15.008,Black,"Hanover, Pennsylvania",,,Jan-00,,Dressage  Lesson Horse  Trail Horse  Beginner/Family ,1.137
Smart Black N Dry,4500,Mare,15.011,Black,"London, Ohio",,,9-Apr,AQHA - American Quarter Horse Association (5206398),Horsemanship (Trained) Equitation (Trained) Western Pleasure (Show) (Trained) Youth/4-H Horse (Competed or Shown) Showmanship (Prospect),1.14
bandit,1500,Gelding,14.317,Chestnut,"cottonwood, California",white star,1100 pounds,6-Mar,,Beginner/Family (Trained) Lesson Horse (Trained) Western Riding (Trained) Trail Horse (Trained) Youth/4-H Horse (Trained),1.142
PR Doc Remedy,11500,Gelding,15.007,Bay,"Wellington, Colorado","Star, snip, left hind sock and freeze branded w/ Dedmon brand left hip",1100 pounds,2-Mar,AQHA - American Quarter Horse Association (4348556),Reined Cow Horse (Prospect) Working Cow Horse (Prospect) Team Sorting (Champion) Ranch Sorting (Champion) Cutting (Champion),1.142
Topaz,750,Gelding,14.999,Brown,"Winona, Mississippi","star,blaze,stocking",1000 pounds,7-Apr,,Western Pleasure  Trail Horse  Halter  Gaited  Beginner/Family ,1.147
Haidas Warbonnet - Zata,3000,Mare,14.096,Sorrel,"Southbridge, Massachusetts","stockings, bald face",,5-Apr,APHA - American Paint Horse Association (),Calf Roping (Prospect) Lesson Horse (Prospect) Brood Mare (Prospect) Beginner/Family (Prospect) Country Pleasure (Trained),1.151
Roxy Rolex (Roxy),4500,Mare,14.991,Chestnut,"Burleson, Texas","Star strip & snip, front sock, hind stocking",1000 pounds,11-Feb,AQHA - American Quarter Horse Association (5379905),Western Pleasure (Show) (Prospect) Showmanship (Prospect) Trail Horse (Prospect) Horsemanship (Prospect) Western Riding (Prospect),1.152
Honey Ofa Fella,4700,Mare,15.112,Palomino,"Madison, South Dakota",,,4-Feb,AQHA - American Quarter Horse Association (X0629382) PHBA - Palomino Horse Breeders of America (80967),Halter (Competed or Shown) Brood Mare (Trained),1.156
Nu cutter Jac,2500,Stallion,7.195,Buckskin,"Southside, Tennessee",None,300 pounds,13-Mar,AQHA - American Quarter Horse Association (pending),Barrel Racing (Prospect) Breeding (Prospect) Reining (Prospect) Trail Horse (Prospect) Cutting (Prospect),1.166
Dollar Deal,4000,Mare,16.208,Chestnut,"Calgary , Alberta, Canada",,,3-Apr,,Brood Mare (Trained) Jumper (Competed or Shown),1.173
A Cool Filly,1800,Mare,15.2,Sorrel,"Rosholt, South Dakota",Small Star,,10-Jun,AQHA - American Quarter Horse Association (),Brood Mare ,1.175
Brain,1500,Gelding,15.206,Bay,"colorado, Colorado",,,4-May,AQHA - American Quarter Horse Association () AQHA - American Quarter Horse Association (),Not Applicable ,1.178
Masquerade,5000,Mare,15.199,Bay,"Queen Anne, Maryland","Big Star, Snip, Hind Sock",,7-Feb,USEF - United States Equestrian Federation (),Lesson Horse (Trained) Field Hunter (Trained) Hunter (Trained),1.179
Rocco,2500,Gelding,15.015,Pinto,"Barboursville, West Virginia",,,9-Apr,,,1.18
Bonnie,1000,Mare,14.118,Chestnut,"Lebanon, Tennessee",,1000 pounds,2-Jan,,Beginner/Family (Trained) Drill Team (Trained) Lesson Horse (Trained) Trail Horse (Trained),1.182
Consider A Sheik,7500,Mare,15.213,Sorrel,"canfield, Ohio",,,7-Apr,AQHA - American Quarter Horse Association (4935557),Western Pleasure  Halter  Hunter Under Saddle ,1.187
YumYum,5000,Mare,13.189,Buckskin,"bangor, Pennsylvania",,,3-Jan,,Equitation (Competed or Shown) Beginner/Family (Trained) Lesson Horse (Trained) Hunter (Competed or Shown) Youth/4-H Horse (Trained),1.192
Shez Blue Worthy,1750,Mare,15.283,Bay,"Holt, Florida","Star, Left Hind sock and Dark spots on left hind coronet",1050 pounds,4-May,AQHA - American Quarter Horse Association (),Beginner/Family (Prospect) Brood Mare (Prospect) Youth/4-H Horse (Prospect),1.192
Lil' Bit,25000,Mare,14.101,Chestnut,"Wernersville, Pennsylvania","Strip and snip, front left/hind right sock",,2-Apr,USEF - United States Equestrian Federation (),Hunter (Champion) Hunter Under Saddle (Champion) Equitation (Champion) Dressage (Trained) Beginner/Family (Trained),1.198
PEPPER JACK,2000,Gelding,14.096,Black,"TUCSON, Arizona",REAR SOCKS,900 pounds,6-Jan,,Beginner/Family (Trained) Lesson Horse (Trained) Ranch Horse (Trained) Trail Horse (Trained) Western Riding (Trained),1.2
One Hot Lincoln,7000,Gelding,16.007,Black,"Atlanta, Indiana",,,7-Apr,AQHA - American Quarter Horse Association (),Western Pleasure (Show) (Champion) Horsemanship (Champion) Hunter Under Saddle (Champion) Youth/4-H Horse (Champion) Showmanship (Champion),1.201
HD Lowrider Harley,40000,Gelding,16.111,Chestnut,"Boca Raton, Florida",,,2-Feb,USEF - United States Equestrian Federation (5065624),Jumper ,1.201
Rock n Forever,12000,Gelding,16.991,Black,"Monticello, Minnesota",,,6-Jan,APHA - American Paint Horse Association () PtHA - Pinto Horse Association of America (),Western Pleasure (Show) (Competed or Shown) Lesson Horse (Competed or Shown) English Pleasure (Competed or Shown),1.201
Brain,1500,Gelding,15.187,Palomino,"Delaware, Delaware",,,5-Jan,PHA- Palomino Horse Association () PHBA - Palomino Horse Breeders of America (),Barrel Racing (Trained) Draft (Competed or Shown),1.206
Judges Gold,2250,Gelding,16.007,Dun,"Springfield, Missouri",white with spots over back and hips,1250 pounds,1-Mar,ApHC - Appaloosa Horse Club (602815),Western Pleasure (Prospect) English Pleasure (Prospect) Trail Horse (Trained),1.209
Dreamgirl,20000,Mare,12.208,Bay,"Lothian, Maryland",,,2-Jan,,Hunter (Competed or Shown),1.21
Dont Forget About Me,500,Mare,14.297,Grey,"sCOTTSBLUFF, Nebraska",,,May-97,AQHA - American Quarter Horse Association (),Brood Mare  Breeding ,1.211
GOTCHA HOT MONEY,12500,Gelding,16.217,Chestnut,"HOWELL, Michigan",,1100 pounds,11-May,AQHA - American Quarter Horse Association (X0699685),Youth/4-H Horse (Trained) English Pleasure (Trained) Hunter Under Saddle (Trained) Hunter (Prospect) Jumper (Prospect),1.212
,800,Mare,14.112,Palomino,"wicksburg, Alabama",blaze and socks,,12-Apr,AQHA - American Quarter Horse Association (),Halter (Prospect) Longe-Line (Prospect) Western Pleasure (Show) (Prospect) Trail Horse (Prospect) Showmanship (Prospect),1.215
CHIPPULSIONS,7500,Mare,15.101,Sorrel,"Grapevine, Arkansas","Blaze face, white right hind sock, spot of white hair on left side",1000 pounds,3-Mar,AQHA - American Quarter Horse Association (4317027),Youth/4-H Horse (Champion) Showmanship (Competed or Shown) Horsemanship (Competed or Shown) Western Pleasure (Show) (Champion),1.215
Susie Q,1500,Mare,14.206,Bay,"Gales Ferry, Connecticut","star, socks",1000 pounds,4-Jan,,Jumper (Prospect) Trail Horse (Champion) Eventing (Prospect) Endurance Riding (Prospect) Beginner/Family (Rank Not Applicable),1.221
Bengie,1000,Gelding,15.112,Bay,"Grafton, Massachusetts",,,May-90,,Trail Horse (Trained) Youth/4-H Horse (Trained) Hunter (Competed or Shown),1.222
Midas,8500,Gelding,14.21,Black,"Topsham, Vermont",White Blaze,,10-May,,Not Applicable ,1.229
Platinum Express,5500,Mare,17.091,Grey,"Tobaccoville, North Carolina",dappled,,6-Jul,,English Pleasure (Competed or Shown) Beginner/Family  Equitation (Competed or Shown) Jumper (Competed or Shown) Hunter Under Saddle (Competed or Shown),1.23
Beau,1250,Gelding,15.086,Buckskin,"Sterling, Connecticut",,1000 pounds,5-Mar,AQHA - American Quarter Horse Association (4649863) American Buckskin Registry Associateion (P-17832),Country Pleasure  English Pleasure (Competed or Shown) Western Pleasure (Competed or Shown) Trail Horse ,1.24
Big League ScotchBar,6000,Gelding,15.19,Chestnut,"Dover, Ohio",chestnut leopard app,,8-Mar,ApHC - Appaloosa Horse Club (656433),Trail Horse (Trained) Halter (Competed or Shown) Horsemanship (Competed or Shown) Western Pleasure (Show) (Competed or Shown) Western Pleasure (Competed or Shown),1.243
Tango,3000,Gelding,16.304,Bay,"Arpin, Wisconsin",,1200 pounds,4-Apr,IAHA - Half-Arabian Horse Association (HAHR*1A353394),,1.246
Skips Cameo Doc,1500,Mare,5.191,Buckskin,"Paisley, Florida","Black mane and tail, and lower legs, golden body, 2 whorls on forhead",1100 pounds,Apr-97,AQHA - American Quarter Horse Association (3624039) NFQHA - National Foundation Quarter Horse Association (F0032749),Brood Mare (Rank Not Applicable) Trail Horse (Rank Not Applicable),1.247
,18000,Gelding,16.306,Bay,"Hamilton, Ontario, Canada",,,5-Jan,,Hunter ,1.25
Joe Whispering Smoke,4000,Gelding,14.316,Sorrel,"Dillwyn, Virginia",,1100 pounds,Feb-00,AQHA - American Quarter Horse Association (4146085),Cutting (Rank Not Applicable) Ranch Sorting (Rank Not Applicable) Trail Horse (Competed or Shown) Ranch Horse (Competed or Shown),1.257
Rio's Revenge,15000,Gelding,17.096,Grey,"Timmins, Ontario, Canada",None,1300 pounds,4-Jan,,Equitation (Champion) Hunter (Champion) Hunter Under Saddle (Champion) English Pleasure (Champion),1.257
Sassy,250,Mare,14.213,Bay,"Caledonia, Ohio",Tobiano,1100 pounds,Mar-96,,,1.262
Flower,1500,Mare,14.1,Dun,"Stephenville, Texas",Tobiano w/blue eyes,,6-Mar,,Beginner/Family (Trained) Lesson Horse (Prospect) Trail Horse (Trained) Youth/4-H Horse (Trained) Ranch Horse (Trained),1.263
Black Tie and Tails,25000,Gelding,15.317,Black,"Prosper, Texas",Socks and a stripe,,Apr-99,,Hunter (Champion) Equitation (Champion) Jumper (Competed or Shown),1.269
MY SUMMER WITH PADRON,5000,Mare,14.193,Chestnut,"mohave valley, Arizona",,,3-Jun,AHA - Arabian Horse Association (0605447),Brood Mare ,1.271
Manhattan,2500,Gelding,14.217,Sorrel,"Williston , Florida",No White,,8-Oct,TWHBEA - Tennessee Walking Horse Breeders' and Exhibitors' Association (20805557),Not Applicable  Lesson Horse (Trained) Country Pleasure (Trained) Gaited (Trained),1.271
Missy,15000,Mare,16.981,Black,"Middleburg, Virginia",Star and hind socks,,May-00,,Beginner/Family  Trail Horse  Field Hunter ,1.272
Gandy Clue Bar Music,6000,Mare,15.206,Sorrel,"Dover, Ohio",star,,6-Mar,AQHA - American Quarter Horse Association (),Trail Horse (Competed or Shown) Competitive Trail Competitions (Competed or Shown) Beginner/Family (Competed or Shown) English Pleasure (Competed or Shown) Western Pleasure (Show) (Champion),1.274
Gotta Runaway,1000,Mare,14.996,Bay,"Southside, Tennessee","White, Star, Strip, Snip, 4 white socks",1000 pounds,May-96,AQHA - American Quarter Horse Association (3551336),Trail Horse (Prospect) Barrel Racing (Prospect) Brood Mare (Trained),1.275
Legendary,7500,Gelding,13.192,Grey,"Walnut Creek, Ohio",,500 pounds,Apr-96,USEF - United States Equestrian Federation (),Hunter (Champion),1.282
,0,Gelding,14.991,Sorrel,"Binghamton, New York",,1100 pounds,May-97,,Not Applicable ,1.282
EXPRESS DELIVERY,1500,Mare,14.987,Brown,"North Branch, Michigan",,1000 pounds,May-92,APHA - American Paint Horse Association (00215881),Beginner/Family  Brood Mare  Trail Horse ,1.286
Ruslers Paint Tensity,5500,Gelding,16.01,Sorrel,"Plymoth, Wisconsin",Overo,,6-Apr,APHA - American Paint Horse Association (865544),Hunter Under Saddle (Competed or Shown) Horsemanship (Competed or Shown) Equitation (Competed or Shown) Showmanship (Competed or Shown) Hunter (Competed or Shown),1.286
Simba,8000,Gelding,15.285,Chestnut,"Swanzey, New Hampshire","Stripe, white sock",,Apr-99,USEF - United States Equestrian Federation () USHJA (),Jumper (Competed or Shown) Equitation (Competed or Shown) Hunter (Competed or Shown) English Pleasure (Competed or Shown) Dressage (Trained),1.291
Lil' Chief,1800,Gelding,8.198,Buckskin,"Millersburg, Ohio",Pinto,,3-Apr,,Beginner/Family ,1.294
Twistin Tweety Bird,6500,Mare,14.098,Sorrel,"Dallas, Texas",,1000 pounds,5-Apr,AQHA - American Quarter Horse Association (4770885),Cutting (Champion) Team Sorting (Trained) Barrel Racing (Trained) Trail Horse (Champion) Western Pleasure (Trained),1.297
,4500,Mare,15.292,Sorrel,"Hatley, Wisconsin","Light Flaxen Mane and Tail, Blaze",,4-Jun,AQHA - American Quarter Horse Association (),Hunter Under Saddle (Champion) Showmanship (Champion) Western Pleasure (Show) (Competed or Shown) English Pleasure (Trained) Equitation (Competed or Shown),1.317
SV The Final Gun,5500,Mare,14.306,Buckskin,"Weyauwega, Wisconsin",Large Star,1000 pounds,7-Apr,AQHA - American Quarter Horse Association (5003895),Team Sorting (Rank Not Applicable) Western Pleasure (Competed or Shown) Trail Horse (Trained) Team Penning (Rank Not Applicable) Reining (Trained),1.321
NLD Dont Be Kidded,1000,Mare,14.203,Bay,"Rapid City , Michigan",star. Left hind pastern white,,Apr-94,AQHA - American Quarter Horse Association (3311155),Brood Mare ,1.328
Tacktiek,40000,Gelding,16.007,Black,"Southern Pines, North Carolina",,,Jan-00,USEF - United States Equestrian Federation (),Hunter (Competed or Shown) Equitation (Competed or Shown),1.329
This Blue is Smokin,5000,Mare,16.116,Chestnut,"Tampa, Florida",rear hind white sock,1000 pounds,3-Feb,AQHA - American Quarter Horse Association () PtHA - Pinto Horse Association of America (),Hunter Under Saddle (Competed or Shown) Horsemanship (Competed or Shown) Showmanship (Competed or Shown) Equitation (Competed or Shown) Brood Mare (Prospect),1.329
P S CALLING CARD,40000,Mare,15.288,Roan,"MYAKKA CITY, Florida",blaze and sock,1100 pounds,5-Feb,AQHA - American Quarter Horse Association (X0640514) USEF - United States Equestrian Federation (5167128),Dressage ,1.331
Nuthin But Luck aka Lucky,1800,Mare,12.019,Grulla,"Mondovi, Wisconsin","Bald face, stockings, belly spot",,1-Apr,,English Pleasure (Competed or Shown) Jumper (Trained) Lesson Horse (Trained) Trail Horse (Trained) Western Pleasure (Show) (Competed or Shown),1.333
DD,3000,Gelding,14.314,Other,"Kintnersville, Pennsylvania",White markings on the side and face,,9-Feb,,Trail Horse (Trained) Western Pleasure (Prospect),1.341
2013 colt - Ms San Playdox,2500,Stallion,14.194,Chestnut,"Gainesville, Texas",Solid,,13-Jan,AQHA - American Quarter Horse Association (pending),Cutting (Prospect) Reining (Prospect) Youth/4-H Horse (Trained) Working Cow Horse (Prospect) Team Roping (Prospect),1.344
Chubby Dunnit,9000,Gelding,14.31,Buckskin,"Milner, Georgia",,1050 pounds,4-May,AQHA - American Quarter Horse Association (4771597),Reining (Competed or Shown) Western Riding (Competed or Shown) Ranch Horse (Competed or Shown) Horsemanship (Competed or Shown) Beginner/Family (Rank Not Applicable),1.344
H Cornett,30000,Mare,16.193,Bay,"Tryon, North Carolina",,,2-Aug,,Trail Horse  Hunter (Competed or Shown) Dressage (Trained),1.347
Get Smart aka Smarty,20000,Gelding,14.116,White,"Tryon, North Carolina",dark mane and tail,,4-Jan,,Hunter (Competed or Shown) Lesson Horse (Trained) Trail Horse (Trained) Beginner/Family (Trained) Eventing (Trained),1.35
Buddy,5500,Gelding,15.09,Grey,"Keldron, South Dakota",,,2-May,AQHA - American Quarter Horse Association (4309300),Ranch Horse (Trained) Beginner/Family ,1.351
Temon Dun N Red,1200,Mare,15.283,Dun,"Terrell, Texas",red dun solid,1400 pounds,1-Mar,APHA - American Paint Horse Association (646559),Halter  Brood Mare ,1.353
my magic kid,1900,Mare,15.093,Sorrel,"Terrell, Texas",,1100 pounds,4-Apr,AQHA - American Quarter Horse Association (4562648),Halter  Brood Mare ,1.357
Shez da Bomb,15000,Mare,15.103,Chestnut,"Odessa, Missouri","star, strip, snip, right front, left rear",1000 pounds,11-Jan,AQHA - American Quarter Horse Association (5372047),Youth/4-H Horse (Trained) Showmanship (Prospect) Beginner/Family (Trained) Breeding (Prospect) Halter (Champion),1.357
Samual,600,Gelding,15.207,Grey,"Bayfield, Colorado",Liver spotted,1400 pounds,Jan-89,,Lesson Horse  Judged Pleasure Rides  Horsemanship  Country Pleasure  Beginner/Family ,1.363
Blue Eyes,4250,Gelding,10.186,Roan,"Huntsville, Texas","White face , 4 white legs",,5-Mar,,Dressage (Competed or Shown) Lesson Horse (Trained) Beginner/Family (Competed or Shown) Eventing (Trained) Hunter (Competed or Shown),1.367
Colonel Madison,900,Mare,14.996,Chestnut,"Peyton, Colorado",,1100 pounds,Mar-91,AQHA - American Quarter Horse Association (3000310),Brood Mare (Rank Not Applicable),1.368
PeppysTwoEyedMarq (Tootsie),8500,Mare,14.317,Palomino,"Murrieta, California",,,11-Apr,AQHA - American Quarter Horse Association (5404909) NFQHA - National Foundation Quarter Horse Association (F0034530),Reined Cow Horse (Trained) Cutting (Prospect) Barrel Racing (Prospect) Team Roping (Prospect) Ranch Sorting (Prospect),1.373
Hudson,4500,Gelding,16.216,Grey,"York Springs, Pennsylvania",,,10-Jan,,Hunter (Prospect) Eventing (Prospect) English Pleasure (Prospect) Trail Horse (Trained),1.376
Kina's Luna Starr,2450,Mare,12.02,Pinto,"Decatur, Indiana",,,12-Apr,,,1.379
2013 colt - Dun Berry Mint,1350,Stallion,14.992,Dun,"Whitesboro, Texas","Star, Strip, Socks",,13-Apr,AQHA - American Quarter Horse Association (pending) NFQHA - National Foundation Quarter Horse Association (elligiable),Team Roping (Prospect) Youth/4-H Horse (Prospect) Working Cow Horse (Prospect) Reined Cow Horse (Prospect) Reining (Prospect),1.383
Sunrise Flo,12000,Gelding,15.112,Bay,"Dallas, Texas",,1100 pounds,4-Jan,AQHA - American Quarter Horse Association (5244173),Cutting (Champion) Beginner/Family (Champion) Team Sorting (Trained) Trail Horse (Champion) Youth/4-H Horse (Champion),1.389
Star,15000,Mare,15.297,Black,"St. Pauls, North Carolina",star,1300 pounds,5-Jul,FHANA - Friesian Horse Association of North America (),Brood Mare  Driving  Trail Horse  Beginner/Family ,1.397
Sugar,4000,Mare,15.101,Pinto,"watkinsville, Georgia",,,Jan-00,,Gaited  Beginner/Family  Trail Horse ,2.003
Gemstone,60000,Mare,17.081,Grey,"Knoxville, Tennessee",,1500 pounds,4-Apr,,Dressage (Competed or Shown),2.005
Smart N Sassy Lena,4000,Mare,15.012,Sorrel,"Sarnia, Ontario, Canada",,,4-Apr,APHA - American Paint Horse Association (785892),Team Penning (Prospect) Working Cow Horse (Prospect) Reining (Prospect) Reined Cow Horse (Prospect) Brood Mare (Rank Not Applicable),2.006
GOOD TO SASS,5500,Mare,15.208,Sorrel,"western, Massachusetts",blaze,,6-Mar,AQHA - American Quarter Horse Association (4922217),Western Pleasure (Show) (Champion) Hunter Under Saddle (Champion) Youth/4-H Horse (Champion) English Pleasure (Champion) Trail Horse (Champion),2.007
Buck,2000,Gelding,16.183,Chestnut,"North East, Maryland",blaze,,1-Jan,JC - Jockey Club (),Beginner/Family (Trained) Youth/4-H Horse (Trained) Trail Horse (Trained) Field Hunter (Prospect) Eventing (Prospect),2.008
Country,1500,Gelding,16.297,Bay,"Stevensville, Maryland",White star & stripe,,Jun-97,,Lesson Horse (Trained) English Pleasure (Competed or Shown) Equitation (Competed or Shown) Jumper (Competed or Shown) Hunter (Competed or Shown),2.008
Regalia,10000,Mare,16.194,Grey,"Queen Anne, Maryland",,,12-May,Oldenburg NA (33-99948-12),Hunter  Dressage  Jumper ,2.012
Imagine My Legacy,10000,Gelding,15.998,Buckskin,"El Reno, Oklahoma",No Markings,1300 pounds,10-Jan,AQHA - American Quarter Horse Association (5300100),Halter (Champion),2.017
